churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
C-816288,A-c37cab,,pricing,4.03,,,,switched to competitor
C-5a81e7,A-37f969,,support,96.45,,,,No feedback
C-a174be,A-b07346,,budget,0.0,,,,missing features
C-accb39,A-1e50e0,,budget,54.94,,,,switched to competitor
C-92f889,A-956988,,unknown,0.0,,,,too expensive
C-a8ac26,A-b20d99,,features,0.0,,,,missing features
C-2e2966,A-526d93,,features,34.4,,,,No feedback
C-ee531b,A-751bd4,,budget,0.0,,,,No feedback
C-e6a0f0,A-ccabf0,,features,0.0,,,,too expensive
C-9328ba,A-0a62f5,,features,0.0,,,,switched to competitor
C-c89493,A-3ce5b8,,features,261.49,,,,too expensive
C-c54ef0,A-3b5cd1,,unknown,77.87,,,,missing features
C-bb3556,A-bcf664,,competitor,0.0,,,,No feedback
C-875dc5,A-b9f5b1,,features,0.0,,,,switched to competitor
C-c8f7b4,A-0dbdc6,,pricing,175.02,,,,too expensive
C-865f19,A-c9bb3e,,pricing,0.0,,,,switched to competitor
C-102614,A-96e141,,budget,43.53,,,,too expensive
C-4ab0e2,A-e7a1e2,,support,0.0,,,,missing features
C-742a59,A-812c5b,,support,11.83,,,,missing features
C-1f9cf2,A-1e50e0,,pricing,0.0,,,,switched to competitor
C-5d5a64,A-c70870,,competitor,0.0,,,,switched to competitor
C-f81017,A-271f46,,features,0.0,,,,missing features
C-3292be,A-592832,,support,22.66,,,,switched to competitor
C-e582ea,A-180abf,,support,0.0,,,,No feedback
C-100b97,A-0a282f,,features,0.0,,,,switched to competitor
C-8843d4,A-e51ec7,,support,0.0,,,,missing features
C-8b3048,A-034368,,features,0.0,,,,No feedback
C-48f456,A-8bde0c,,features,0.0,,,,missing features
C-dcdebc,A-08e34e,,competitor,225.18,,,,switched to competitor
C-8b229b,A-44dc83,,unknown,98.48,,,,missing features
C-7d13bf,A-78f02b,,unknown,0.0,,,,missing features
C-78a2bb,A-fce879,,features,0.0,,,,switched to competitor
C-935f48,A-34ea2f,,unknown,0.0,,,,No feedback
C-366a49,A-0baac2,,unknown,68.65,,,,switched to competitor
C-62e7a3,A-ac85cd,,features,83.94,,,,No feedback
C-f3aca2,A-439b2f,,features,0.0,,,,switched to competitor
C-3b7c60,A-0f6450,,competitor,0.0,,,,missing features
C-736efa,A-b78bf8,,unknown,0.0,,,,No feedback
C-f6e873,A-3b5cd1,,support,35.3,,,,too expensive
C-2e2a3f,A-7df7a7,,budget,0.0,,,,missing features
C-762dd4,A-396e5f,,features,0.0,,,,too expensive
C-f72425,A-32fb14,,budget,0.0,,,,switched to competitor
C-0e273d,A-4e0e85,,pricing,0.0,,,,No feedback
C-345bbc,A-922109,,support,0.0,,,,too expensive
C-555f55,A-794a0b,,budget,0.0,,,,switched to competitor
C-a26ce8,A-5a184f,,support,0.0,,,,missing features
C-86a446,A-ccb686,,budget,0.0,,,,No feedback
C-10ce15,A-029f69,,competitor,32.73,,,,too expensive
C-2698c2,A-9208f0,,features,0.0,,,,switched to competitor
C-48906a,A-5a92e7,,budget,0.0,,,,missing features
C-4f7342,A-f45426,,pricing,0.0,,,,switched to competitor
C-23b1d0,A-2446e3,,unknown,47.06,,,,No feedback
C-7f909a,A-d535f6,,features,0.0,,,,switched to competitor
C-f208d4,A-6da850,,competitor,0.0,,,,missing features
C-acbc2b,A-249769,,budget,0.0,,,,No feedback
C-859615,A-8e47ca,,competitor,0.0,,,,missing features
C-035985,A-6da850,,pricing,0.0,,,,too expensive
C-7cace4,A-484819,,support,0.0,,,,No feedback
C-06a2e6,A-bbc346,,competitor,0.0,,,,too expensive
C-eb9d5e,A-eb1312,,unknown,0.0,,,,switched to competitor
C-a45909,A-bf7919,,support,0.0,,,,No feedback
C-7f85f4,A-bece89,,unknown,53.61,,,,switched to competitor
C-234aa7,A-832ec2,,unknown,0.0,,,,too expensive
C-0ba0a0,A-22d9d2,,pricing,0.0,,,,No feedback
C-d05e42,A-32728c,,support,0.0,,,,No feedback
C-8d3540,A-37f969,,competitor,50.41,,,,No feedback
C-bedd8c,A-1b9609,,unknown,0.0,,,,No feedback
C-1cea52,A-310452,,budget,0.0,,,,No feedback
C-1e0b1a,A-016043,,competitor,84.75,,,,switched to competitor
C-c4e7a7,A-80eeb6,,features,0.0,,,,missing features
C-915973,A-7e0a10,,budget,0.0,,,,missing features
C-a403fc,A-6a7c9d,,support,0.0,,,,too expensive
C-025044,A-098560,,pricing,0.0,,,,too expensive
C-a54597,A-9f9299,,features,0.0,,,,missing features
C-7ab794,A-ef84cf,,support,0.0,,,,too expensive
C-7cd070,A-13466a,,pricing,6.51,,,,switched to competitor
C-1727c8,A-65aeb5,,pricing,0.0,,,,No feedback
C-bb9db4,A-659280,,pricing,27.75,,,,switched to competitor
C-0a0bf7,A-d49cc5,,competitor,0.0,,,,missing features
C-64ba8a,A-cc8c8f,,budget,0.0,,,,missing features
C-fab429,A-180abf,,support,0.0,,,,No feedback
C-872bcf,A-6da850,,budget,0.0,,,,switched to competitor
C-480232,A-31ab9a,,competitor,0.0,,,,too expensive
C-108b2a,A-e08cd3,,competitor,0.0,,,,switched to competitor
C-775d4e,A-0651a4,,support,0.0,,,,too expensive
C-043665,A-b2225d,,budget,0.0,,,,No feedback
C-2dbe71,A-c222ab,,budget,4.52,,,,too expensive
C-b60cf0,A-a6d261,,unknown,99.94,,,,missing features
C-f24343,A-425e76,,budget,0.0,,,,missing features
C-a1d45c,A-c222ab,,features,27.62,,,,missing features
C-9d36da,A-bcf664,,competitor,0.0,,,,No feedback
C-b4b58e,A-96e141,,budget,0.0,,,,too expensive
C-5cd282,A-df1e44,,budget,0.0,,,,missing features
C-95f56e,A-7f29a7,,unknown,23.97,,,,switched to competitor
C-bd5b55,A-b07b56,,budget,0.0,,,,switched to competitor
C-b8127e,A-d792a6,,support,0.0,,,,missing features
C-8153b7,A-7cfe77,,features,0.0,,,,missing features
C-b6b828,A-69fad4,,support,0.0,,,,No feedback
C-a666a4,A-4bfa33,,unknown,7.26,,,,switched to competitor
C-72d074,A-cc1d8d,,features,0.0,,,,too expensive
C-ced436,A-7f4db3,,support,0.0,,,,missing features
C-2cccb0,A-692f18,,support,0.0,,,,switched to competitor
C-b08dda,A-7a0d69,,features,28.95,,,,No feedback
C-66d447,A-fda07f,,support,17.34,,,,missing features
C-860574,A-4e44e8,,budget,0.0,,,,switched to competitor
C-a4f797,A-cd458b,,budget,0.0,,,,switched to competitor
C-4dfeb8,A-56962b,,unknown,45.83,,,,switched to competitor
C-d3449f,A-2bc93d,,pricing,0.0,,,,missing features
C-1a5a14,A-104f1a,,support,0.0,,,,too expensive
C-6c63bc,A-2e3bad,,features,0.0,,,,missing features
C-1f5828,A-2edab2,,unknown,168.73,,,,switched to competitor
C-8203f3,A-3be56b,,pricing,0.0,,,,switched to competitor
C-f518d9,A-6e08f3,,competitor,0.0,,,,No feedback
C-974322,A-712533,,unknown,0.0,,,,missing features
C-6b610a,A-df10db,,competitor,0.0,,,,missing features
C-61ced5,A-acb7f7,,competitor,0.0,,,,missing features
C-bb8317,A-533452,,features,0.0,,,,No feedback
C-576ecc,A-993085,,features,0.0,,,,No feedback
C-2608a3,A-bf7919,,features,0.0,,,,too expensive
C-30462f,A-bb1486,,budget,0.0,,,,switched to competitor
C-bc6f48,A-eafc6e,,pricing,0.0,,,,No feedback
C-8052a7,A-faa28c,,features,0.0,,,,No feedback
C-3b399f,A-7dacce,,features,0.0,,,,No feedback
C-a761a8,A-50bb9f,,unknown,0.0,,,,too expensive
C-192e1d,A-716841,,unknown,0.0,,,,too expensive
C-494a16,A-5a184f,,support,0.0,,,,switched to competitor
C-3db212,A-e40f45,,budget,101.23,,,,missing features
