account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag
A-2e4581,Company_0,EdTech,US,,partner,Basic,9,,
A-43a9e3,Company_1,FinTech,IN,,other,Basic,18,,
A-0a282f,Company_2,DevTools,US,,organic,Basic,1,,
A-1f0ac7,Company_3,HealthTech,UK,,other,Basic,24,,
A-ce550d,Company_4,HealthTech,US,,event,Enterprise,35,,
A-1b9609,Company_5,EdTech,IN,,ads,Enterprise,4,,
A-a0ca4e,Company_6,Cybersecurity,US,,ads,Pro,11,,
A-e5d6ab,Company_7,EdTech,US,,partner,Pro,3,,
A-7dacce,Company_8,Cybersecurity,CA,,event,Enterprise,12,,
A-10b8da,Company_9,DevTools,US,,partner,Enterprise,14,,
A-592832,Company_10,Cybersecurity,US,,organic,Basic,18,,
A-d40bf7,Company_11,FinTech,IN,,organic,Basic,59,,
A-6c093d,Company_12,DevTools,US,,partner,Basic,7,,
A-462d45,Company_13,Cybersecurity,US,,partner,Enterprise,11,,
A-956988,Company_14,EdTech,UK,,ads,Enterprise,1,,
A-ac14bb,Company_15,FinTech,US,,partner,Enterprise,21,,
A-463db0,Company_16,HealthTech,US,,partner,Basic,15,,
A-ce66f8,Company_17,EdTech,CA,,event,Pro,29,,
A-c4ea60,Company_18,FinTech,DE,,other,Enterprise,18,,
A-832ec2,Company_19,FinTech,UK,,event,Enterprise,4,,
A-684255,Company_20,FinTech,US,,ads,Enterprise,9,,
A-c42f1f,Company_21,HealthTech,US,,other,Pro,8,,
A-4e44e8,Company_22,DevTools,US,,ads,Enterprise,3,,
A-30b4ca,Company_23,EdTech,IN,,organic,Basic,86,,
A-9f2731,Company_24,FinTech,IN,,event,Enterprise,1,,
A-32fb14,Company_25,DevTools,US,,event,Enterprise,26,,
A-00cac8,Company_26,HealthTech,AU,,organic,Enterprise,8,,
A-35083d,Company_27,HealthTech,IN,,partner,Basic,19,,
A-eb7fac,Company_28,DevTools,US,,organic,Enterprise,7,,
A-b20d99,Company_29,HealthTech,IN,,other,Basic,20,,
A-396e5f,Company_30,Cybersecurity,CA,,other,Enterprise,2,,
A-45ce7a,Company_31,FinTech,US,,ads,Enterprise,16,,
A-08e34e,Company_32,EdTech,US,,event,Basic,14,,
A-8145a0,Company_33,Cybersecurity,AU,,partner,Basic,2,,
A-bad8c1,Company_34,FinTech,AU,,organic,Basic,7,,
A-44dc83,Company_35,EdTech,FR,,other,Basic,5,,
A-f446b6,Company_36,DevTools,DE,,ads,Pro,5,,
A-a45270,Company_37,HealthTech,US,,ads,Enterprise,3,,
A-854864,Company_38,FinTech,IN,,event,Enterprise,20,,
A-1b7577,Company_39,Cybersecurity,US,,other,Pro,4,,
A-05f0e5,Company_40,FinTech,US,,partner,Basic,32,,
A-9077b0,Company_41,HealthTech,US,,ads,Basic,2,,
A-7f8241,Company_42,EdTech,US,,organic,Pro,34,,
A-2bc93d,Company_43,HealthTech,US,,event,Basic,14,,
A-f3ff05,Company_44,FinTech,IN,,other,Enterprise,2,,
A-2d4502,Company_45,FinTech,IN,,event,Basic,7,,
A-6a4e2d,Company_46,EdTech,UK,,partner,Pro,9,,
A-eb7c38,Company_47,DevTools,AU,,organic,Enterprise,5,,
A-c37601,Company_48,EdTech,US,,partner,Basic,6,,
A-3b5cd1,Company_49,FinTech,US,,event,Basic,13,,
A-b2225d,Company_50,FinTech,US,,ads,Basic,47,,
A-94f8c9,Company_51,HealthTech,US,,other,Basic,13,,
A-02fac6,Company_52,FinTech,US,,event,Pro,22,,
A-c1dfe1,Company_53,DevTools,DE,,ads,Pro,26,,
A-32728c,Company_54,DevTools,US,,event,Pro,20,,
A-4c38bc,Company_55,HealthTech,UK,,event,Basic,36,,
A-1b707d,Company_56,Cybersecurity,US,,organic,Enterprise,1,,
A-6f8ad2,Company_57,EdTech,IN,,organic,Basic,1,,
A-4d1e75,Company_58,DevTools,US,,other,Basic,20,,
A-9ee962,Company_59,HealthTech,US,,ads,Basic,9,,
A-378b99,Company_60,EdTech,UK,,ads,Pro,8,,
A-94d3da,Company_61,HealthTech,US,,other,Basic,41,,
A-e351e1,Company_62,EdTech,US,,other,Enterprise,33,,
A-9badbd,Company_63,Cybersecurity,DE,,ads,Enterprise,5,,
A-7e0a10,Company_64,FinTech,US,,ads,Enterprise,46,,
A-118d55,Company_65,Cybersecurity,US,,organic,Basic,8,,
A-526d93,Company_66,HealthTech,FR,,organic,Basic,43,,
A-f92792,Company_67,FinTech,US,,ads,Pro,1,,
A-84ebe4,Company_68,FinTech,US,,ads,Pro,18,,
A-5b4ebb,Company_69,Cybersecurity,UK,,other,Basic,21,,
A-2922b6,Company_70,HealthTech,US,,organic,Basic,15,,
A-9b9fe9,Company_71,EdTech,AU,,other,Basic,5,,
A-a8b49c,Company_72,Cybersecurity,UK,,partner,Basic,7,,
A-9174e0,Company_73,Cybersecurity,US,,partner,Basic,37,,
A-a1bbb6,Company_74,DevTools,CA,,organic,Basic,1,,
A-c45b23,Company_75,FinTech,UK,,partner,Basic,5,,
A-02cd81,Company_76,HealthTech,IN,,other,Basic,44,,
A-ee42db,Company_77,EdTech,DE,,ads,Enterprise,13,,
A-432483,Company_78,Cybersecurity,US,,ads,Pro,4,,
A-9208f0,Company_79,EdTech,US,,organic,Pro,1,,
A-98a59a,Company_80,FinTech,UK,,partner,Enterprise,56,,
A-fe79a5,Company_81,HealthTech,IN,,ads,Basic,9,,
A-726cfa,Company_82,DevTools,US,,partner,Pro,11,,
A-c43359,Company_83,FinTech,US,,organic,Pro,38,,
A-271f46,Company_84,DevTools,US,,event,Pro,38,,
A-157070,Company_85,FinTech,US,,ads,Pro,16,,
A-40a557,Company_86,Cybersecurity,AU,,partner,Pro,16,,
A-66224b,Company_87,HealthTech,US,,other,Pro,92,,
A-91e948,Company_88,EdTech,AU,,partner,Basic,41,,
A-104f1a,Company_89,Cybersecurity,US,,other,Pro,24,,
A-7988d1,Company_90,Cybersecurity,US,,other,Basic,33,,
A-faa28c,Company_91,HealthTech,US,,organic,Enterprise,48,,
A-f25509,Company_92,EdTech,US,,other,Enterprise,32,,
A-3a7284,Company_93,FinTech,US,,organic,Enterprise,31,,
A-3a5ad8,Company_94,HealthTech,US,,organic,Enterprise,9,,
A-65a46c,Company_95,HealthTech,US,,event,Pro,1,,
A-8b25f2,Company_96,Cybersecurity,US,,ads,Pro,6,,
A-fabe19,Company_97,DevTools,UK,,ads,Enterprise,1,,
A-adc1f3,Company_98,Cybersecurity,US,,organic,Pro,2,,
A-503d5a,Company_99,FinTech,US,,other,Enterprise,4,,
A-fd7ad3,Company_100,Cybersecurity,US,,event,Enterprise,1,,
A-186a44,Company_101,HealthTech,US,,ads,Enterprise,20,,
A-e888d1,Company_102,Cybersecurity,US,,other,Pro,14,,
A-69fad4,Company_103,FinTech,UK,,ads,Basic,6,,
A-9289f6,Company_104,EdTech,US,,event,Enterprise,1,,
A-f19409,Company_105,DevTools,US,,other,Basic,23,,
A-22f2df,Company_106,DevTools,US,,ads,Basic,3,,
A-039727,Company_107,EdTech,AU,,organic,Pro,25,,
A-2e3bad,Company_108,FinTech,CA,,other,Pro,61,,
A-484819,Company_109,HealthTech,US,,organic,Pro,18,,
A-425e76,Company_110,DevTools,UK,,other,Enterprise,8,,
A-e83938,Company_111,DevTools,UK,,other,Pro,2,,
A-ad296b,Company_112,DevTools,AU,,event,Pro,38,,
A-e51ec7,Company_113,FinTech,CA,,partner,Enterprise,2,,
A-0aaf6e,Company_114,FinTech,US,,organic,Enterprise,3,,
A-e61e98,Company_115,FinTech,US,,partner,Enterprise,19,,
A-92a333,Company_116,FinTech,US,,event,Enterprise,9,,
A-95b24a,Company_117,FinTech,US,,event,Pro,38,,
A-42e5e1,Company_118,DevTools,US,,ads,Pro,1,,
A-7d514c,Company_119,HealthTech,DE,,organic,Enterprise,17,,
A-65aeb5,Company_120,DevTools,US,,partner,Pro,9,,
A-e2cd1b,Company_121,DevTools,US,,other,Enterprise,15,,
A-180abf,Company_122,DevTools,US,,event,Pro,64,,
A-f17767,Company_123,DevTools,US,,event,Enterprise,1,,
A-5a184f,Company_124,DevTools,DE,,other,Enterprise,1,,
A-7df7a7,Company_125,DevTools,US,,organic,Basic,7,,
A-1ac5e0,Company_126,DevTools,US,,event,Basic,33,,
A-52dd88,Company_127,Cybersecurity,US,,ads,Pro,23,,
A-bece89,Company_128,Cybersecurity,IN,,event,Pro,26,,
A-029f69,Company_129,Cybersecurity,CA,,event,Basic,3,,
A-5c046d,Company_130,EdTech,FR,,partner,Basic,93,,
A-fb186e,Company_131,EdTech,IN,,organic,Basic,29,,
A-ae052e,Company_132,FinTech,CA,,other,Basic,39,,
A-9f9299,Company_133,FinTech,US,,organic,Enterprise,28,,
A-96e141,Company_134,DevTools,UK,,partner,Basic,14,,
