subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-8cec59,A-3c1a3f,,,Enterprise,14,2786,33432,,,,,monthly,
S-0f6f44,A-9b9fe9,,,Pro,17,833,9996,,,,,monthly,
S-51c0d1,A-659280,,,Enterprise,62,0,0,,,,,annual,
S-f81687,A-e7a1e2,,,Enterprise,5,995,11940,,,,,monthly,
S-cff5a2,A-ba6516,,,Enterprise,27,5373,64476,,,,,monthly,
S-4b9b13,A-fa2041,,,Pro,15,735,8820,,,,,monthly,
S-dceac6,A-417d2f,,,Enterprise,4,796,9552,,,,,annual,
S-8cad7b,A-5f2961,,,Basic,16,304,3648,,,,,annual,
S-24796e,A-cc8c8f,,,Enterprise,23,4577,54924,,,,,annual,
S-d0c344,A-80eeb6,,,Pro,22,1078,12936,,,,,annual,
S-477506,A-f03140,,,Pro,27,1323,15876,,,,,annual,
S-79a9e1,A-3a5ad8,,,Enterprise,22,0,0,,,,,annual,
S-59dc4b,A-f17767,,,Pro,26,1274,15288,,,,,monthly,
S-7acd8b,A-7920cc,,,Basic,39,741,8892,,,,,annual,
S-428e9a,A-8ae3fc,,,Enterprise,88,0,0,,,,,monthly,
S-486088,A-0cc442,,,Pro,45,2205,26460,,,,,monthly,
S-13939b,A-86902e,,,Pro,34,0,0,,,,,monthly,
S-9333c5,A-ef84cf,,,Basic,8,152,1824,,,,,annual,
S-37e3ad,A-b30291,,,Basic,5,95,1140,,,,,monthly,
S-b17d04,A-e19ff6,,,Pro,8,392,4704,,,,,monthly,
S-c27134,A-dec005,,,Pro,21,0,0,,,,,monthly,
S-3bd427,A-2e3bad,,,Basic,61,1159,13908,,,,,monthly,
S-82989b,A-f5641b,,,Basic,31,589,7068,,,,,monthly,
S-082b15,A-aa9511,,,Enterprise,97,19303,231636,,,,,annual,
S-434140,A-075038,,,Pro,17,833,9996,,,,,annual,
S-c07ede,A-cea1f0,,,Pro,8,392,4704,,,,,annual,
S-287914,A-a1b80b,,,Pro,16,784,9408,,,,,annual,
S-b3bd43,A-b2225d,,,Pro,50,2450,29400,,,,,monthly,
S-4c82da,A-b9eed8,,,Pro,11,539,6468,,,,,monthly,
S-c75159,A-bcf87c,,,Enterprise,31,6169,74028,,,,,monthly,
S-b5643b,A-9f9299,,,Enterprise,28,5572,66864,,,,,annual,
S-49a9aa,A-10b8f2,,,Basic,51,969,11628,,,,,annual,
S-2877e6,A-95b24a,,,Enterprise,38,0,0,,,,,monthly,
S-8c10c1,A-0651a4,,,Enterprise,65,12935,155220,,,,,annual,
S-d7d398,A-fb186e,,,Enterprise,29,0,0,,,,,annual,
S-ddad91,A-40906c,,,Enterprise,92,0,0,,,,,annual,
S-6762fa,A-40a557,,,Enterprise,16,3184,38208,,,,,annual,
S-bb1cf1,A-3a5ad8,,,Enterprise,9,0,0,,,,,monthly,
S-a805a5,A-2789e3,,,Basic,33,627,7524,,,,,monthly,
S-da0a69,A-49b828,,,Pro,6,294,3528,,,,,monthly,
S-59c5d7,A-c16b88,,,Basic,35,665,7980,,,,,monthly,
S-d3faae,A-5c9849,,,Basic,19,361,4332,,,,,monthly,
S-73a4e4,A-993085,,,Pro,31,1519,18228,,,,,monthly,
S-35c8a3,A-e4144b,,,Enterprise,41,8159,97908,,,,,annual,
S-99fbf7,A-7dacce,,,Enterprise,12,2388,28656,,,,,annual,
S-e97b9f,A-a0ca4e,,,Enterprise,12,2388,28656,,,,,annual,
S-763d33,A-ef84cf,,,Basic,23,437,5244,,,,,annual,
S-323782,A-7920cc,,,Basic,39,741,8892,,,,,monthly,
S-1cff18,A-2789e3,,,Basic,11,209,2508,,,,,monthly,
S-ad39ef,A-e40f45,,,Pro,21,0,0,,,,,annual,
S-bf806d,A-7c5768,,,Basic,62,1178,14136,,,,,annual,
S-36f6ec,A-ccb686,,,Pro,21,1029,12348,,,,,monthly,
S-aff55c,A-bb2f49,,,Pro,8,0,0,,,,,monthly,
S-b9fc6c,A-2ebb4b,,,Basic,41,779,9348,,,,,annual,
S-7f8cd8,A-53f4e3,,,Enterprise,20,3980,47760,,,,,monthly,
S-e912e6,A-a8d89d,,,Enterprise,78,15522,186264,,,,,monthly,
S-fef85a,A-7f8241,,,Pro,34,1666,19992,,,,,annual,
S-36d5c9,A-54ecc2,,,Enterprise,11,2189,26268,,,,,monthly,
S-b9ff15,A-95b24a,,,Enterprise,43,8557,102684,,,,,annual,
S-10bd09,A-bbc346,,,Basic,50,950,11400,,,,,annual,
S-12bfc8,A-31ab9a,,,Enterprise,29,5771,69252,,,,,monthly,
S-f5c472,A-faa28c,,,Basic,48,912,10944,,,,,monthly,
S-dbc1ca,A-8adedc,,,Enterprise,14,2786,33432,,,,,annual,
S-dc6dfd,A-e08cd3,,,Pro,67,3283,39396,,,,,monthly,
S-b2d472,A-bcf87c,,,Enterprise,10,1990,23880,,,,,annual,
S-9dfce0,A-e6afc1,,,Pro,2,98,1176,,,,,annual,
