ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-0024de,A-712f1c,,,27,high,74,4.0,
T-4d04b9,A-e43bf7,,,27,urgent,144,4.0,
T-d5e12f,A-0f3e88,,,19,urgent,93,4.0,
T-dfce9a,A-4c56c9,,,47,medium,126,5.0,
T-c59f77,A-6f8ad2,,,26,medium,8,4.0,
T-90f06d,A-94c3cd,,,9,medium,60,4.0,
T-30b537,A-2e4581,,,27,urgent,64,3.0,
T-60242d,A-72799b,,,12,low,56,4.0,
T-7119c9,A-b179bf,,,16,urgent,154,4.0,
T-b0edf2,A-7cfe77,,,28,medium,150,3.0,
T-98a84a,A-157070,,,42,low,26,4.0,
T-04457d,A-854864,,,48,medium,140,5.0,
T-6bd715,A-4e0e85,,,50,medium,129,4.0,
T-13f1b8,A-5b4ebb,,,26,low,121,5.0,
T-a3288b,A-098560,,,55,low,26,3.0,
T-f8e2c3,A-40a557,,,69,high,60,4.0,
T-4e7816,A-05f0e5,,,36,low,108,4.0,
T-0dea8b,A-671f31,,,60,medium,45,3.0,
T-ca96ba,A-410e86,,,3,high,64,4.0,
T-ac0b69,A-ac9111,,,14,low,86,4.0,
T-0f1c67,A-78f02b,,,48,low,51,4.0,
T-4fb3f2,A-c62e55,,,59,medium,136,3.0,
T-2b4423,A-158f4e,,,11,high,99,4.0,
T-b17401,A-50bb9f,,,12,high,171,3.0,
T-462ece,A-b9f5b1,,,51,low,50,3.0,
T-066714,A-b2225d,,,24,high,52,3.0,
T-8c694d,A-883b7d,,,15,low,39,3.0,
T-804c6c,A-751bd4,,,28,medium,49,4.0,
T-64b0b8,A-533452,,,56,low,16,5.0,
T-bfa749,A-684255,,,1,low,137,5.0,
T-3b24c1,A-0aaf6e,,,54,high,151,3.0,
T-68c8a6,A-7c4956,,,19,high,34,4.0,
T-bbe374,A-3ce5b8,,,50,low,155,4.0,
T-bccf63,A-82d8a6,,,70,high,67,3.0,
T-98448a,A-462d45,,,18,high,99,4.0,
T-f68dde,A-118d55,,,14,medium,1,4.0,
T-5f84c5,A-1f559b,,,62,high,28,4.0,
T-9bae5a,A-7cfe77,,,23,urgent,176,5.0,
T-22842d,A-533452,,,8,high,66,3.0,
T-f8b58d,A-ee42db,,,57,urgent,144,4.0,
T-3a2a66,A-e98302,,,66,low,150,4.0,
T-490c4a,A-503d5a,,,9,urgent,179,4.0,
T-6cce32,A-659280,,,6,medium,176,4.0,
T-ec46f5,A-f5641b,,,55,high,93,4.0,
T-219077,A-fb186e,,,42,medium,58,4.0,
T-6b6fb7,A-716841,,,4,medium,119,3.0,
T-2e5ba4,A-0be015,,,14,low,46,4.0,
T-8001a4,A-c9bb3e,,,11,urgent,53,4.0,
T-a1d9dd,A-fd7ad3,,,64,urgent,21,3.0,
